,Country,2015,2016,2017,2018,2019,2020,Y-Intercept,Slope,2021,2022,2023,2024,2025,Difference
0,Afghanistan,3.575,3.36,3.79399991,3.632,3.203,2.566900015,330.3918905,-0.1621,2.7878,2.62570001,2.46360001,2.30150002,2.13940002,-0.42749999
1,Albania,4.959,4.655,4.644000053,4.586,4.719,4.882699966,19.00757,-0.00707143,4.71619998,4.70912855,4.70205711,4.69498568,4.68791424,-0.19478572
2,Algeria,5.605,6.355,5.872000217,5.295,5.211,5.005099773,409.5472256,-0.2002429,4.8563332,4.6560903,4.4558474,4.25560451,4.05536161,-0.94973816
3,Argentina,6.574,6.65,6.598999977,6.388,6.086,5.974699974,288.7998014,-0.13998572,5.88866665,5.74868093,5.60869521,5.4687095,5.32872378,-0.6459762
4,Armenia,4.35,4.36,4.375999928,4.321,4.559,4.676799774,-120.9903295,0.0621714,4.65806651,4.72023791,4.78240931,4.84458071,4.9067521,0.22995233
5,Australia,7.284,7.313,7.28399992,7.272,7.228,7.222799778,40.29671646,-0.01637146,7.20999985,7.19362839,7.17725693,7.16088547,7.14451401,-0.07828576
6,Austria,7.2,7.119,7.006000042,7.139,7.246,7.294199944,-49.61082906,0.02814285,7.26586663,7.29400948,7.32215233,7.35029518,7.37843802,0.08423808
7,Azerbaijan,5.212,5.291,5.234000206,5.201,5.208,5.164800167,35.07743047,-0.01479998,5.16666679,5.15186681,5.13706683,5.12226685,5.10746686,-0.0573333
8,Bahrain,5.96,6.218,6.086999893,6.105,6.199,6.227300167,-68.65894477,0.03707146,6.26246677,6.29953823,6.33660968,6.37368114,6.41075259,0.18345243
9,Bangladesh,4.694,4.643,4.607999802,4.5,4.456,4.832799911,3.181242761,0.00071428,4.62479993,4.62551421,4.62622848,4.62694276,4.62765704,-0.20514287
10,Belarus,5.813,5.802,5.568999767,5.483,5.323,5.539899826,172.0897462,-0.08252859,5.29946654,5.21693795,5.13440936,5.05188077,4.96935218,-0.57054765
11,Belgium,6.937,6.929,6.890999794,6.927,6.923,6.863500118,27.05788267,-0.00998569,6.87680006,6.86681437,6.85682868,6.84684299,6.8368573,-0.02664282
12,Benin,3.34,3.484,3.657000065,4.141,4.883,5.21600008,-806.3960669,0.40174287,5.52626672,5.92800959,6.32975246,6.73149532,7.13323819,1.91723811
13,Bolivia,5.89,5.822,5.822999954,5.752,5.779,5.747499943,58.4013709,-0.02607144,5.71099996,5.68492852,5.65885709,5.63278565,5.60671422,-0.14078573
14,Bosnia and Herzegovina,4.949,5.163,5.18200016,5.129,5.386,5.674099922,-239.2449635,0.1211857,5.67133329,5.79251899,5.91370469,6.03489039,6.15607609,0.48197616
15,Botswana,4.332,3.974,3.766000032,3.59,3.488,3.478899956,343.8355336,-0.16855715,3.18153331,3.01297616,2.84441901,2.67586186,2.50730471,-0.97159525
16,Brazil,6.983,6.952,6.635000229,6.419,6.3,6.375599861,306.8724628,-0.1488286,6.08986659,5.94103799,5.79220939,5.6433808,5.4945522,-0.88104766
17,Bulgaria,4.218,4.217,4.714000225,4.933,5.011,5.101500034,-399.8673063,0.20052857,5.40093337,5.60146194,5.80199051,6.00251908,6.20304765,1.10154762
18,Burkina Faso,3.587,3.739,4.032000065,4.424,4.587,4.768700123,-505.632665,0.25270002,5.07406675,5.32676677,5.57946678,5.8321668,6.08486682,1.31616669
19,Burundi,2.905,2.905,2.904999971,2.905,3.775,3.775300026,-398.0857092,0.1989,3.89120002,4.09010002,4.28900002,4.48790003,4.68680003,0.91150001
20,Cambodia,3.819,3.907,4.168000221,4.433,4.7,4.848400116,-444.782954,0.22260001,5.09166676,5.31426677,5.53686678,5.75946679,5.9820668,1.13366668
21,Cameroon,4.252,4.513,4.695000172,4.975,5.044,5.084899902,-343.2580618,0.17249998,5.36439995,5.53689993,5.70939991,5.88189989,6.05439987,0.96949997
22,Canada,7.427,7.404,7.315999985,7.328,7.278,7.23210001,84.60109625,-0.0383,7.19680001,7.15850001,7.12020001,7.08190001,7.04360001,-0.1885
23,Chad,3.667,3.763,3.936000109,4.301,4.35,4.422699928,-336.2789396,0.16869999,4.66373329,4.83243328,5.00113327,5.16983325,5.33853324,0.91583331
